Method,Dataset,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,L1,L2,DTW,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
AB_CF,ECG200,37,1,0,0.312,0.0729,0.0,57.7999,8.2854,1.6382,1.0,0.9957574009895325,0.0,0.009568541310727596,1.0,0.843341052532196,1.0,0.9999560117721558,1.0,0.9903167486190796,0.0,0.0018891977379098535,1.0,0.9505339860916138,1.0,0.9999406337738037,1.0,0.9991662502288818,0.0,0.0010649890173226595,0.0,0.49171024560928345,1.0,0.9999103546142578,1.0,0.9999517202377319,0.0,0.0014040304813534021,1.0,0.7649983763694763,1.0,0.9997422099113464,1.0,0.9997504353523254,0.0,0.0033970982767641544,0.0,0.007287493906915188,1.0,0.9984309077262878,1.0,0.9999991655349731,0.0,0.007485677022486925,0.0,0.0007331346860155463,1.0,0.9861037135124207,1.0,0.9999988079071045,0.0,0.011818097904324532,0.0,0.0013598176883533597,1.0,0.8874569535255432,1.0,0.9999996423721313,0.0,0.01680385135114193,0.0,1.3819000166392925e-08,1.0,0.678047239780426,1.0,1.0,0.0,0.0208783857524395,0.0,2.1501000446733087e-07,0.0,0.38492351770401,1.0,1.0,0.0,0.02836335264146328,0.0,1.1126270038630537e-07,0.0,0.1495119333267212,1.0,1.0,0.0,0.04284752160310745,0.0,5.553027371263397e-09,0.0,0.026760302484035492
AB_CF,ECG200,26,0,1,0.5806,0.7188,0.7,6.1453,1.3442,0.8482,1.0,0.9041024446487427,1.0,0.9999204874038696,1.0,0.54590904712677,0.0,0.00012219509517308325,1.0,0.9597635865211487,1.0,0.9998038411140442,0.0,0.3947221636772156,0.0,7.790326344547793e-05,1.0,0.8481578826904297,1.0,0.9993109703063965,1.0,0.6033629179000854,0.0,7.209383329609409e-05,1.0,0.8306549787521362,1.0,0.9974557757377625,0.0,0.14805468916893005,0.0,7.633811765117571e-05,0.0,0.026533961296081543,1.0,0.9886903762817383,1.0,0.998457670211792,0.0,7.075211760820821e-05,0.0,0.0007304319879040122,1.0,0.9430534839630127,1.0,0.9418470859527588,0.0,5.626399797620252e-05,0.0,2.8536305762827396e-05,1.0,0.8013116717338562,1.0,0.9997742772102356,0.0,5.4391504818340763e-05,0.0,0.0004056082107126713,1.0,0.611669659614563,1.0,0.9999998807907104,0.0,7.284127786988392e-05,0.0,9.207607035932597e-06,0.0,0.4648926854133606,1.0,0.9999955892562866,0.0,0.00015221041394397616,0.0,5.34995888301637e-06,0.0,0.4484105706214905,1.0,1.0,0.0,0.00048619930748827755,0.0,2.984425762075915e-10,1.0,0.5248169898986816,1.0,1.0,0.0,0.0023213904350996017
AB_CF,ECG200,41,1,0,0.2831,0.5312,0.5,20.0988,3.3248,1.6648,1.0,0.7416480779647827,0.0,0.0009101115283556283,1.0,0.596175491809845,1.0,0.9976382255554199,1.0,0.593644380569458,0.0,0.0006879084976390004,1.0,0.7076765298843384,1.0,0.9968743324279785,1.0,0.7439820766448975,0.0,0.0006141528720036149,0.0,0.48189815878868103,1.0,0.9962687492370605,0.0,0.4437338411808014,0.0,0.0006347285816445947,0.0,0.365251362323761,1.0,0.9933506846427917,1.0,0.9868174195289612,0.0,0.0006850003264844418,0.0,0.01606917567551136,1.0,0.9866162538528442,1.0,0.9966458678245544,0.0,0.0007526865811087191,0.0,0.001958449836820364,1.0,0.9743004441261292,1.0,0.9991123080253601,0.0,0.0010361369932070374,0.0,1.4472973361989716e-06,1.0,0.929534375667572,1.0,0.9999997615814209,0.0,0.0021180028561502695,0.0,2.2435087885241956e-06,1.0,0.8265072703361511,1.0,1.0,0.0,0.00366493733599782,0.0,4.011252718871816e-10,1.0,0.6093818545341492,1.0,1.0,0.0,0.005540151614695787,0.0,1.6244410059717412e-13,0.0,0.45547014474868774,1.0,1.0,0.0,0.01105570513755083,0.0,2.540923721428001e-11,0.0,0.3981184959411621
AB_CF,ECG200,35,1,0,0.2773,0.8229,0.8,5.6446,1.7672,0.7059,1.0,0.743794858455658,0.0,4.635873483493924e-05,1.0,0.6301296949386597,1.0,0.9999439716339111,1.0,0.7830595970153809,0.0,1.0808659681060817e-05,1.0,0.7736631035804749,1.0,0.9996849298477173,1.0,0.8312796354293823,0.0,6.059981387807056e-06,0.0,0.06191128119826317,1.0,0.9984815716743469,0.0,0.35314658284187317,0.0,8.257747140305582e-06,0.0,0.05474892258644104,1.0,0.9882851839065552,1.0,0.9910891056060791,0.0,2.6587727916194126e-05,0.0,0.0003436765691731125,1.0,0.7772685885429382,1.0,0.9999988079071045,0.0,0.00013355912233237177,0.0,7.719378481851891e-05,0.0,0.1334218531847,1.0,0.9996384382247925,0.0,0.000698627030942589,0.0,7.208255681234732e-08,0.0,0.022943299263715744,1.0,0.9999995231628418,0.0,0.0037853498943150043,0.0,6.796178553258869e-08,0.0,0.007927663624286652,1.0,0.9999982118606567,0.0,0.021033193916082382,0.0,1.2444058228311405e-08,0.0,0.004951118491590023,1.0,1.0,0.0,0.14480668306350708,0.0,8.690277664147317e-11,0.0,0.003746217582374811,1.0,1.0,1.0,0.7184420228004456,0.0,7.705994731210808e-10,0.0,0.0023291758261621
AB_CF,ECG200,77,1,0,0.2756,0.8125,0.8,7.7705,2.0083,0.8109,1.0,0.9760311245918274,0.0,0.00013147761637810618,1.0,0.5237271785736084,1.0,0.999850869178772,1.0,0.9843495488166809,0.0,3.317930895718746e-05,1.0,0.6195036768913269,1.0,0.999104917049408,1.0,0.9550650715827942,0.0,2.1674359231838025e-05,0.0,0.4537939429283142,1.0,0.9936038851737976,1.0,0.9998507499694824,0.0,3.3524174796184525e-05,0.0,0.05233171582221985,1.0,0.9388212561607361,1.0,0.9988151788711548,0.0,7.025185914244503e-05,0.0,0.03322060778737068,0.0,0.349149614572525,1.0,0.9999353885650635,0.0,0.0002189857914345339,0.0,0.00046648821444250643,0.0,0.016385208815336227,1.0,0.9999986886978149,0.0,0.0007578759687021375,0.0,2.0405679606483318e-05,0.0,0.0012155153090134263,1.0,0.9999998807907104,0.0,0.003052829299122095,0.0,2.152358320017811e-05,0.0,0.00031915612635202706,1.0,0.9999978542327881,0.0,0.01519471313804388,0.0,1.6414842818335273e-09,0.0,0.00012727983994409442,1.0,1.0,0.0,0.10721595585346222,0.0,2.1909178471446467e-08,0.0,8.19115957710892e-05,1.0,1.0,1.0,0.5124946236610413,0.0,9.51418852454197e-16,0.0,5.4663662012899294e-05
AB_CF,ECG200,21,1,0,0.3374,0.3438,0.3,46.5127,8.5745,2.2616,1.0,0.9998657703399658,0.0,0.029087578877806664,1.0,0.826074481010437,1.0,0.9993693232536316,1.0,0.9998593330383301,0.0,0.003355309134349227,0.0,0.4151671826839447,1.0,0.9907568097114563,1.0,0.9997058510780334,0.0,0.0012482288293540478,0.0,0.08743418753147125,1.0,0.8396362662315369,1.0,0.9999860525131226,0.0,0.001035431050695479,0.0,0.004023554269224405,0.0,0.17467036843299866,1.0,0.9999755620956421,0.0,0.0014092441415414214,0.0,6.459630185418064e-06,0.0,0.012209615670144558,1.0,0.9999990463256836,0.0,0.0028935696464031935,0.0,9.093768653656298e-07,0.0,0.0013271865900605917,1.0,1.0,0.0,0.006312570068985224,0.0,3.3331133408864844e-08,0.0,0.0002260299224872142,1.0,1.0,0.0,0.014380165375769138,0.0,6.362573685692041e-07,0.0,4.617232843884267e-05,1.0,1.0,0.0,0.026066739112138748,0.0,3.9709341592697456e-08,0.0,1.1362948498572223e-05,1.0,1.0,0.0,0.0807635560631752,0.0,7.637470100796406e-10,0.0,5.723120921174996e-06,1.0,1.0,0.0,0.2505786716938019,0.0,1.5169754287360643e-13,0.0,3.1840165775065543e-06
AB_CF,ECG200,50,1,0,0.3055,0.25,0.2,49.6503,7.4418,2.2986,1.0,0.9996368885040283,0.0,0.005442226771265268,1.0,0.8807005882263184,1.0,0.9999489784240723,1.0,0.999646782875061,0.0,0.0010516984621062875,0.0,0.37799185514450073,1.0,0.9992328882217407,1.0,0.9999721050262451,0.0,0.0003942639450542629,0.0,0.11733667552471161,1.0,0.9858900308609009,1.0,0.9999183416366577,0.0,0.000375113362679258,0.0,0.004601680673658848,1.0,0.7566574811935425,1.0,0.9999979734420776,0.0,0.0008718984900042415,0.0,3.5956196597908274e-07,0.0,0.1928144097328186,1.0,0.9999996423721313,0.0,0.0024361126124858856,0.0,5.803162395068284e-09,0.0,0.034503690898418427,1.0,1.0,0.0,0.009144900366663933,0.0,4.512921077548526e-05,0.0,0.010695885866880417,1.0,1.0,0.0,0.03598405793309212,0.0,5.79843137954862e-15,0.0,0.0038504041731357574,1.0,1.0,0.0,0.19687995314598083,0.0,1.91090481112266e-12,0.0,0.0018338251393288374,1.0,1.0,1.0,0.6830775737762451,0.0,4.805648240457927e-11,0.0,0.0011240204330533743,1.0,1.0,1.0,0.9502764344215393,0.0,5.260130188986369e-16,0.0,0.0007896345341578126
AB_CF,ECG200,96,1,0,0.2883,0.3438,0.3,21.4468,3.4718,1.2588,1.0,0.996971845626831,0.0,0.0006789765320718288,1.0,0.8038673996925354,1.0,0.9999547004699707,1.0,0.9849680066108704,0.0,0.00012206350220367312,1.0,0.5015206336975098,1.0,0.9994441866874695,1.0,0.9993784427642822,0.0,7.639390241820365e-05,0.0,0.17528367042541504,1.0,0.9951517581939697,1.0,0.9994524121284485,0.0,0.00012437885743565857,0.0,0.00018042100418824703,1.0,0.9576257467269897,1.0,0.9997307658195496,0.0,0.0002883239940274507,0.0,2.743643563007936e-06,1.0,0.6135808825492859,1.0,0.9999903440475464,0.0,0.00046264060074463487,0.0,1.047824849109702e-08,0.0,0.12913008034229279,1.0,0.999980092048645,0.0,0.0008862430113367736,0.0,1.400778046445339e-06,0.0,0.017871079966425896,1.0,1.0,0.0,0.0028581072110682726,0.0,1.0069359568376512e-08,0.0,0.0024365969002246857,1.0,1.0,0.0,0.01444295048713684,0.0,3.1939043076967266e-10,0.0,0.0005559587734751403,1.0,1.0,0.0,0.06887463480234146,0.0,2.130617238194077e-09,0.0,0.00020932630286552012,1.0,1.0,0.0,0.30121004581451416,0.0,2.3993665387855856e-10,0.0,4.677353717852384e-05
AB_CF,ECG200,72,1,0,0.2928,0.3646,0.3,17.0569,2.789,1.1255,1.0,0.9951689839363098,0.0,0.005271828267723322,1.0,0.6499051451683044,1.0,0.9999027252197266,1.0,0.9954990744590759,0.0,0.000465516495751217,0.0,0.3644654452800751,1.0,0.9985634684562683,1.0,0.998979389667511,0.0,9.55530340434052e-05,0.0,0.009218686260282993,1.0,0.983826220035553,1.0,0.999642014503479,0.0,4.1229221096728e-05,0.0,0.029274597764015198,1.0,0.8080775737762451,1.0,0.9999523162841797,0.0,2.184260119975079e-05,0.0,1.321716240454407e-06,0.0,0.2767646610736847,1.0,0.9999991655349731,0.0,1.5571655239909887e-05,0.0,1.7774486877897289e-06,0.0,0.04915209859609604,1.0,1.0,0.0,1.3114232388033997e-05,0.0,5.4651870584621065e-08,0.0,0.011849201284348965,1.0,1.0,0.0,1.4764614206796978e-05,0.0,1.0577952735957297e-07,0.0,0.0031338001135736704,1.0,1.0,0.0,1.5603243809891865e-05,0.0,1.6010120746506873e-12,0.0,0.0015065824845805764,1.0,1.0,0.0,1.7413918612874113e-05,0.0,8.854087601983807e-12,0.0,0.0010398735757917166,1.0,1.0,0.0,1.8371658370597288e-05,0.0,2.6927936876836034e-12,0.0,0.0005690971738658845
AB_CF,ECG200,40,1,0,0.3003,0.1562,0.1,54.8053,7.848,1.6533,1.0,0.9999452829360962,0.0,0.013264085166156292,1.0,0.9801432490348816,1.0,0.9999711513519287,1.0,0.9999539852142334,0.0,0.0035902883391827345,1.0,0.9569977521896362,1.0,0.9994563460350037,1.0,0.9999698400497437,0.0,0.0020954094361513853,0.0,0.258258193731308,1.0,0.985822856426239,1.0,0.9999972581863403,0.0,0.0028882184997200966,0.0,1.9184473785571754e-05,1.0,0.6314350366592407,1.0,0.9999980926513672,0.0,0.0071480185724794865,0.0,3.583070622426021e-07,0.0,0.057591892778873444,1.0,0.9999997615814209,0.0,0.02928132563829422,0.0,3.1681623990920116e-09,0.0,0.005341148003935814,1.0,1.0,0.0,0.08366654813289642,0.0,5.912635714366843e-08,0.0,0.0014386230614036322,1.0,1.0,0.0,0.21444827318191528,0.0,1.372485680661839e-08,0.0,0.0005028651794418693,1.0,1.0,0.0,0.45788225531578064,0.0,1.1316243081482824e-10,0.0,0.000306071771774441,1.0,1.0,1.0,0.8070356845855713,0.0,1.1174319108908648e-10,0.0,0.0002589164359960705,1.0,1.0,1.0,0.9570795297622681,0.0,1.0378289894141801e-10,0.0,0.00021723972167819738
