Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
COMTE,LSTMFCN,1145,0,3,186.8712,0.0,0.0,2.6467,67.1397,7.146,0.8896,1.0,0.9941,1.0,0.8681,1.0,0.8896,0.0,0.0115,1.0,0.996,1.0,0.9205,1.0,0.7859,0.0,0.0105,1.0,0.9999,1.0,0.9778,0.0,0.0018,0.0,0.0043,1.0,0.9999,1.0,0.9891,0.0,0.0002,0.0,0.0011,1.0,0.9999,1.0,0.9936,0.0,0.0001,0.0,0.0004,1.0,0.9992,1.0,0.9957,0.0,0.0001,0.0,0.0003,1.0,0.9921,1.0,0.997,0.0,0.0005,0.0,0.0002,0.0,0.1042,1.0,0.9983,0.0,0.0002,0.0,0.0002,0.0,0.0052,1.0,0.9988,0.0,0.0001,0.0,0.0002,0.0,0.0004,1.0,0.9991,0.0,0.0,0.0,0.0002,0.0,0.0118,1.0,0.9993,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,815,0,2,384.6623,0.0,0.0,4.6465,117.0751,13.812,0.9164,1.0,0.9995,1.0,0.9909,1.0,0.9164,0.0,0.3093,1.0,0.9997,1.0,0.995,1.0,0.8132,0.0,0.1009,1.0,1.0,1.0,0.9963,0.0,0.0601,0.0,0.0197,1.0,1.0,1.0,0.9939,0.0,0.0199,0.0,0.0055,1.0,0.9999,1.0,0.9839,0.0,0.0024,0.0,0.0027,1.0,0.9973,1.0,0.9673,0.0,0.006,0.0,0.0016,1.0,0.9979,1.0,0.9627,0.0,0.0097,0.0,0.0009,1.0,0.5814,1.0,0.9737,0.0,0.0056,0.0,0.0005,0.0,0.0222,1.0,0.9864,0.0,0.0015,0.0,0.0002,0.0,0.0932,1.0,0.9934,0.0,0.0001,0.0,0.0001,0.0,0.0004,1.0,0.9963,0.0,0.0002,0.0,0.0
COMTE,LSTMFCN,2755,1,3,478.2036,0.0071,0.0,8.1132,110.2854,13.8,0.8896,1.0,0.9053,0.0,0.0024,1.0,0.8896,0.0,0.0115,1.0,0.9155,0.0,0.005,1.0,0.7682,0.0,0.0105,1.0,0.9888,0.0,0.0016,0.0,0.0094,0.0,0.0043,1.0,0.9305,0.0,0.0004,0.0,0.0008,0.0,0.0011,1.0,0.9309,0.0,0.0003,0.0,0.0004,0.0,0.0004,1.0,0.816,0.0,0.0003,0.0,0.003,0.0,0.0003,1.0,0.922,0.0,0.0003,0.0,0.001,0.0,0.0002,1.0,0.9288,0.0,0.0004,0.0,0.0001,0.0,0.0002,0.0,0.3802,0.0,0.0004,0.0,0.0002,0.0,0.0002,1.0,0.6146,0.0,0.0004,0.0,0.0,0.0,0.0002,0.0,0.4532,0.0,0.0004,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,1079,0,1,482.8278,0.0071,0.0,5.7954,99.8746,10.82,0.9725,1.0,0.927,1.0,0.9972,1.0,0.9725,1.0,0.5453,1.0,0.9823,1.0,0.9972,1.0,0.8926,0.0,0.2245,1.0,0.9999,1.0,0.9989,1.0,0.8973,0.0,0.0202,1.0,0.9999,1.0,0.9995,1.0,0.7025,0.0,0.0012,1.0,1.0,1.0,0.9997,0.0,0.4512,0.0,0.0003,1.0,0.9993,1.0,0.9998,0.0,0.3147,0.0,0.0002,1.0,0.9998,1.0,0.9999,1.0,0.5223,0.0,0.0002,1.0,0.8702,1.0,0.9999,0.0,0.2377,0.0,0.0002,0.0,0.0877,1.0,0.9999,0.0,0.1306,0.0,0.0003,0.0,0.0008,1.0,0.9999,0.0,0.0143,0.0,0.0003,0.0,0.0176,1.0,0.9998,0.0,0.0005,0.0,0.0003
COMTE,LSTMFCN,1546,0,2,499.0481,0.0143,0.0,5.2891,127.841,15.1554,0.9164,1.0,0.9998,1.0,0.954,1.0,0.9164,0.0,0.3093,1.0,0.9999,1.0,0.9762,1.0,0.8173,0.0,0.1009,1.0,1.0,1.0,0.9952,0.0,0.0573,0.0,0.0197,1.0,1.0,1.0,0.9977,0.0,0.0139,0.0,0.0055,1.0,1.0,1.0,0.9975,0.0,0.0128,0.0,0.0027,1.0,0.9999,1.0,0.9974,0.0,0.0076,0.0,0.0016,1.0,0.9935,1.0,0.9976,0.0,0.0402,0.0,0.0009,1.0,0.8041,1.0,0.9981,0.0,0.0015,0.0,0.0005,1.0,0.9309,1.0,0.9986,0.0,0.0016,0.0,0.0002,0.0,0.0081,1.0,0.9989,0.0,0.0004,0.0,0.0001,0.0,0.005,1.0,0.999,0.0,0.0005,0.0,0.0
COMTE,LSTMFCN,3433,1,3,496.1911,0.0,0.0,7.2355,106.8324,13.717,0.8896,1.0,0.9459,0.0,0.0059,1.0,0.8896,0.0,0.0115,1.0,0.8498,0.0,0.0005,1.0,0.7703,0.0,0.0105,1.0,0.7896,0.0,0.0,0.0,0.0081,0.0,0.0043,1.0,0.9313,0.0,0.0,0.0,0.0001,0.0,0.0011,1.0,0.9563,0.0,0.0,0.0,0.0001,0.0,0.0004,1.0,0.9633,0.0,0.0,0.0,0.0003,0.0,0.0003,1.0,0.5679,0.0,0.0,0.0,0.0001,0.0,0.0002,1.0,0.9199,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,0.4082,0.0,0.0,0.0,0.0001,0.0,0.0002,1.0,0.9277,0.0,0.0,0.0,0.0,0.0,0.0002,1.0,0.6969,0.0,0.0,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,4250,1,3,488.8,0.0,0.0,9.0259,118.2227,15.0043,0.8896,1.0,0.9491,0.0,0.0008,1.0,0.8896,0.0,0.0115,1.0,0.9235,0.0,0.0009,1.0,0.5901,0.0,0.0105,1.0,0.9552,0.0,0.0001,0.0,0.0006,0.0,0.0043,1.0,0.8668,0.0,0.0,0.0,0.0001,0.0,0.0011,1.0,0.9221,0.0,0.0,0.0,0.0003,0.0,0.0004,1.0,0.9541,0.0,0.0,0.0,0.0,0.0,0.0003,1.0,0.9975,0.0,0.0,0.0,0.0004,0.0,0.0002,1.0,0.9811,0.0,0.0,0.0,0.0014,0.0,0.0002,0.0,0.2805,0.0,0.0001,0.0,0.0004,0.0,0.0002,1.0,0.7578,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0441,0.0,0.0001,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,1811,0,3,468.811,0.0071,0.0,4.6327,72.4414,7.61,0.8896,1.0,0.9921,1.0,0.7474,1.0,0.8896,0.0,0.0115,1.0,0.9922,1.0,0.8912,0.0,0.3674,0.0,0.0105,1.0,1.0,1.0,0.9373,0.0,0.0015,0.0,0.0043,1.0,0.9999,1.0,0.9575,0.0,0.0,0.0,0.0011,1.0,0.9999,1.0,0.9752,0.0,0.0,0.0,0.0004,1.0,0.9999,1.0,0.9836,0.0,0.0002,0.0,0.0003,1.0,0.9971,1.0,0.991,0.0,0.0013,0.0,0.0002,1.0,0.9935,1.0,0.9957,0.0,0.0,0.0,0.0002,0.0,0.0096,1.0,0.9981,0.0,0.0001,0.0,0.0002,0.0,0.0051,1.0,0.9989,0.0,0.0,0.0,0.0002,0.0,0.0067,1.0,0.9992,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,2390,0,2,267.5911,0.0071,0.0,10.0727,98.415,14.4819,0.9632,1.0,0.9999,1.0,0.9702,1.0,0.9632,0.0,0.3489,1.0,1.0,1.0,0.9725,1.0,0.8617,0.0,0.0657,1.0,1.0,1.0,0.9781,1.0,0.4896,0.0,0.0069,1.0,1.0,1.0,0.986,0.0,0.0107,0.0,0.0023,1.0,1.0,1.0,0.9893,0.0,0.0192,0.0,0.0007,1.0,1.0,1.0,0.992,0.0,0.0152,0.0,0.0001,1.0,0.9996,1.0,0.9937,0.0,0.0049,0.0,0.0001,1.0,0.8462,1.0,0.9944,0.0,0.0135,0.0,0.0,1.0,0.5429,1.0,0.9959,0.0,0.0019,0.0,0.0,0.0,0.002,1.0,0.9972,0.0,0.0006,0.0,0.0,0.0,0.0081,1.0,0.9981,0.0,0.0006,0.0,0.0
COMTE,LSTMFCN,2466,0,2,489.9268,0.0143,0.0,6.4088,114.3892,13.0483,0.9164,1.0,0.9998,1.0,0.955,1.0,0.9164,0.0,0.3093,1.0,0.9999,1.0,0.9704,1.0,0.8362,0.0,0.1009,1.0,1.0,1.0,0.993,0.0,0.0574,0.0,0.0197,1.0,1.0,1.0,0.998,0.0,0.0207,0.0,0.0055,1.0,1.0,1.0,0.9984,0.0,0.0071,0.0,0.0027,1.0,1.0,1.0,0.9978,0.0,0.0011,0.0,0.0016,1.0,0.9996,1.0,0.9967,0.0,0.0069,0.0,0.0009,1.0,0.9923,1.0,0.9959,0.0,0.0056,0.0,0.0005,0.0,0.045,1.0,0.9961,0.0,0.0025,0.0,0.0002,0.0,0.035,1.0,0.9966,0.0,0.0008,0.0,0.0001,0.0,0.0902,1.0,0.9976,0.0,0.0001,0.0,0.0
COMTE,LSTMFCN,4188,1,3,497.864,0.0,0.0,10.2573,125.5493,16.9348,0.8896,1.0,0.9847,0.0,0.0002,1.0,0.8896,0.0,0.0115,1.0,0.9558,0.0,0.0002,1.0,0.732,0.0,0.0105,1.0,0.9615,0.0,0.0001,0.0,0.0004,0.0,0.0043,1.0,0.957,0.0,0.0,0.0,0.0001,0.0,0.0011,1.0,0.9404,0.0,0.0,0.0,0.0,0.0,0.0004,1.0,0.9943,0.0,0.0,0.0,0.0002,0.0,0.0003,1.0,0.9528,0.0,0.0001,0.0,0.0002,0.0,0.0002,1.0,0.9835,0.0,0.0001,0.0,0.0001,0.0,0.0002,1.0,0.847,0.0,0.0001,0.0,0.0005,0.0,0.0002,1.0,0.7375,0.0,0.0001,0.0,0.0001,0.0,0.0002,0.0,0.0184,0.0,0.0001,0.0,0.0,0.0,0.0002
COMTE,LSTMFCN,1522,0,2,366.8031,0.0,0.0,7.8867,119.7455,14.5111,0.9164,1.0,0.9999,1.0,0.9722,1.0,0.9164,0.0,0.3093,1.0,1.0,1.0,0.982,1.0,0.8242,0.0,0.1009,1.0,1.0,1.0,0.9957,0.0,0.0588,0.0,0.0197,1.0,1.0,1.0,0.9975,0.0,0.0022,0.0,0.0055,1.0,1.0,1.0,0.9971,0.0,0.0085,0.0,0.0027,1.0,1.0,1.0,0.9966,0.0,0.0154,0.0,0.0016,1.0,0.9949,1.0,0.9969,0.0,0.0056,0.0,0.0009,1.0,0.9704,1.0,0.9978,0.0,0.005,0.0,0.0005,1.0,0.5442,1.0,0.9986,0.0,0.0021,0.0,0.0002,0.0,0.1957,1.0,0.9991,0.0,0.0043,0.0,0.0001,0.0,0.0001,1.0,0.9994,0.0,0.0003,0.0,0.0
COMTE,LSTMFCN,2077,0,2,206.1197,0.0,0.0,6.5982,103.9595,12.7777,0.9164,1.0,1.0,1.0,0.9185,1.0,0.9164,0.0,0.3093,1.0,1.0,1.0,0.7046,1.0,0.687,0.0,0.1009,1.0,1.0,1.0,0.5282,0.0,0.0551,0.0,0.0197,1.0,1.0,1.0,0.8822,0.0,0.0057,0.0,0.0055,1.0,1.0,1.0,0.9902,0.0,0.0107,0.0,0.0027,1.0,0.9988,1.0,0.9972,0.0,0.0178,0.0,0.0016,1.0,1.0,1.0,0.9986,0.0,0.0285,0.0,0.0009,1.0,0.9794,1.0,0.9992,0.0,0.0144,0.0,0.0005,0.0,0.1104,1.0,0.9995,0.0,0.0045,0.0,0.0002,0.0,0.0225,1.0,0.9997,0.0,0.0016,0.0,0.0001,0.0,0.0,1.0,0.9998,0.0,0.0002,0.0,0.0
COMTE,LSTMFCN,2329,0,4,201.354,0.0,0.0,6.2569,107.6636,13.3069,0.9688,1.0,0.9964,1.0,0.9658,1.0,0.9688,0.0,0.0016,1.0,0.9992,1.0,0.892,1.0,0.93,0.0,0.0007,1.0,0.9998,1.0,0.9034,1.0,0.7035,0.0,0.0006,1.0,0.9997,1.0,0.979,0.0,0.2329,0.0,0.0005,1.0,1.0,1.0,0.994,1.0,0.584,0.0,0.0007,1.0,0.9997,1.0,0.9969,1.0,0.9712,0.0,0.001,1.0,0.9407,1.0,0.998,1.0,0.936,0.0,0.001,1.0,0.9329,1.0,0.9985,1.0,0.9528,0.0,0.001,0.0,0.1016,1.0,0.9986,1.0,0.9981,0.0,0.0011,0.0,0.2508,1.0,0.9987,1.0,0.9966,0.0,0.0011,0.0,0.0154,1.0,0.9987,1.0,0.9999,0.0,0.0012
COMTE,LSTMFCN,780,0,3,207.6473,0.0,0.0,3.8469,71.0313,7.5001,0.8896,1.0,0.9986,1.0,0.9723,1.0,0.8896,0.0,0.0115,1.0,0.9985,1.0,0.936,1.0,0.7991,0.0,0.0105,1.0,0.9999,1.0,0.9298,0.0,0.0026,0.0,0.0043,1.0,1.0,1.0,0.9379,0.0,0.0001,0.0,0.0011,1.0,0.9994,1.0,0.9552,0.0,0.0001,0.0,0.0004,1.0,0.9999,1.0,0.9699,0.0,0.0001,0.0,0.0003,1.0,0.9798,1.0,0.9776,0.0,0.0004,0.0,0.0002,0.0,0.179,1.0,0.9878,0.0,0.0007,0.0,0.0002,1.0,0.735,1.0,0.9943,0.0,0.0,0.0,0.0002,0.0,0.0084,1.0,0.9966,0.0,0.0,0.0,0.0002,0.0,0.0036,1.0,0.9974,0.0,0.0,0.0,0.0002
