Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
NG_CF,LSTMFCN,1145,0,3,32.2836,0.2714,0.2,1.5624,51.7616,6.2541,0.5737,1.0,0.9941,1.0,0.8681,1.0,0.5737,0.0,0.0037,1.0,0.996,1.0,0.9205,0.0,0.0339,0.0,0.0018,1.0,0.9999,1.0,0.9778,0.0,0.0001,0.0,0.0008,1.0,0.9999,1.0,0.9891,0.0,0.0001,0.0,0.0003,1.0,0.9999,1.0,0.9936,0.0,0.0,0.0,0.0001,1.0,0.9992,1.0,0.9957,0.0,0.0,0.0,0.0001,1.0,0.9921,1.0,0.997,0.0,0.0001,0.0,0.0001,0.0,0.1042,1.0,0.9983,0.0,0.0001,0.0,0.0,0.0,0.0052,1.0,0.9988,0.0,0.0001,0.0,0.0,0.0,0.0004,1.0,0.9991,0.0,0.0,0.0,0.0,0.0,0.0118,1.0,0.9993,0.0,0.0,0.0,0.0
NG_CF,LSTMFCN,815,0,3,41.3998,0.15,0.0,2.7324,53.5106,6.0693,0.589,1.0,0.9995,1.0,0.9909,1.0,0.589,0.0,0.0184,1.0,0.9997,1.0,0.995,0.0,0.0995,0.0,0.0023,1.0,1.0,1.0,0.9963,0.0,0.0016,0.0,0.0009,1.0,1.0,1.0,0.9939,0.0,0.0001,0.0,0.0009,1.0,0.9999,1.0,0.9839,0.0,0.0,0.0,0.0016,1.0,0.9973,1.0,0.9673,0.0,0.0001,0.0,0.0023,1.0,0.9979,1.0,0.9627,0.0,0.0012,0.0,0.0023,1.0,0.5814,1.0,0.9737,0.0,0.0001,0.0,0.001,0.0,0.0222,1.0,0.9864,0.0,0.0,0.0,0.0004,0.0,0.0932,1.0,0.9934,0.0,0.0,0.0,0.0002,0.0,0.0004,1.0,0.9963,0.0,0.0,0.0,0.0001
NG_CF,LSTMFCN,1079,0,1,42.8871,0.1357,0.0,4.5253,57.045,7.0064,0.4039,1.0,0.927,1.0,0.9972,1.0,0.4039,0.0,0.0003,1.0,0.9837,1.0,0.9972,0.0,0.1064,0.0,0.0,1.0,0.9999,1.0,0.9989,0.0,0.0094,0.0,0.0,1.0,1.0,1.0,0.9995,0.0,0.0012,0.0,0.0,1.0,1.0,1.0,0.9997,0.0,0.0014,0.0,0.0,1.0,1.0,1.0,0.9998,0.0,0.0341,0.0,0.0,1.0,0.9986,1.0,0.9999,0.0,0.0005,0.0,0.0,1.0,0.9968,1.0,0.9999,0.0,0.0025,0.0,0.0,0.0,0.0461,1.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0152,1.0,0.9999,0.0,0.0001,0.0,0.0,0.0,0.0031,1.0,0.9998,0.0,0.0002,0.0,0.0
NG_CF,LSTMFCN,1546,0,0,35.5702,0.2214,0.2,3.2614,35.6277,4.507,0.4913,1.0,0.9998,1.0,0.954,1.0,0.4913,1.0,0.8244,1.0,1.0,1.0,0.9762,1.0,0.9296,1.0,0.9593,1.0,1.0,1.0,0.9952,1.0,0.9999,1.0,0.9864,1.0,1.0,1.0,0.9977,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.9975,1.0,1.0,1.0,0.9855,1.0,1.0,1.0,0.9974,1.0,1.0,1.0,0.9881,1.0,0.9999,1.0,0.9976,1.0,0.9998,1.0,0.9943,1.0,0.9762,1.0,0.9981,1.0,0.8739,1.0,0.9974,0.0,0.1646,1.0,0.9986,0.0,0.3923,1.0,0.9984,0.0,0.0003,1.0,0.9989,0.0,0.1354,1.0,0.999,0.0,0.0113,1.0,0.999,0.0,0.0147,1.0,0.9992
NG_CF,LSTMFCN,4250,1,2,47.0387,0.0786,0.0,4.1415,56.934,6.3691,0.5079,1.0,0.9491,0.0,0.0008,1.0,0.5079,0.0,0.2614,1.0,0.9152,0.0,0.0009,1.0,0.3684,0.0,0.0093,1.0,0.985,0.0,0.0001,0.0,0.0634,0.0,0.0005,1.0,0.8872,0.0,0.0,0.0,0.0254,0.0,0.0002,0.0,0.3313,0.0,0.0,0.0,0.0014,0.0,0.0,1.0,0.9825,0.0,0.0,0.0,0.0015,0.0,0.0,1.0,0.9558,0.0,0.0,0.0,0.0148,0.0,0.0,0.0,0.4036,0.0,0.0,0.0,0.0051,0.0,0.0,1.0,0.6731,0.0,0.0001,0.0,0.0043,0.0,0.0,0.0,0.1747,0.0,0.0001,0.0,0.0025,0.0,0.0,0.0,0.1634,0.0,0.0001,0.0,0.0003,0.0,0.0
NG_CF,LSTMFCN,1811,0,3,32.6415,0.3,0.2,1.429,25.8681,3.4166,0.5488,1.0,0.9921,1.0,0.7474,1.0,0.5488,0.0,0.0002,1.0,0.9981,1.0,0.8912,0.0,0.1513,0.0,0.0001,1.0,0.9998,1.0,0.9373,0.0,0.0001,0.0,0.0001,1.0,1.0,1.0,0.9575,0.0,0.0,0.0,0.0001,1.0,0.9997,1.0,0.9752,0.0,0.0,0.0,0.0003,1.0,0.9995,1.0,0.9836,0.0,0.0001,0.0,0.0006,1.0,0.9702,1.0,0.991,0.0,0.0,0.0,0.0011,1.0,0.7696,1.0,0.9957,0.0,0.0001,0.0,0.0009,0.0,0.0343,1.0,0.9981,0.0,0.0001,0.0,0.0006,0.0,0.2289,1.0,0.9989,0.0,0.0,0.0,0.0003,0.0,0.0001,1.0,0.9992,0.0,0.0,0.0,0.0002
NG_CF,LSTMFCN,2390,0,3,35.6184,0.2286,0.2,2.4233,43.5323,4.7164,0.5411,1.0,0.9999,1.0,0.9702,1.0,0.5411,0.0,0.0002,1.0,1.0,1.0,0.9725,0.0,0.0599,0.0,0.0001,1.0,1.0,1.0,0.9781,0.0,0.0001,0.0,0.0001,1.0,1.0,1.0,0.986,0.0,0.0,0.0,0.0001,1.0,1.0,1.0,0.9893,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,0.992,0.0,0.0,0.0,0.0004,1.0,0.9951,1.0,0.9937,0.0,0.0,0.0,0.0009,1.0,0.8539,1.0,0.9944,0.0,0.0001,0.0,0.0009,1.0,0.5959,1.0,0.9959,0.0,0.0005,0.0,0.0008,0.0,0.1013,1.0,0.9972,0.0,0.0001,0.0,0.0009,0.0,0.0031,1.0,0.9981,0.0,0.0,0.0,0.0008
NG_CF,LSTMFCN,2466,0,0,32.6134,0.2714,0.2,2.8156,54.0366,6.0987,0.4829,1.0,0.9998,1.0,0.955,1.0,0.4829,1.0,0.6112,1.0,0.9999,1.0,0.9704,1.0,0.9643,1.0,0.65,1.0,1.0,1.0,0.993,1.0,1.0,1.0,0.8549,1.0,1.0,1.0,0.998,1.0,1.0,1.0,0.9706,1.0,1.0,1.0,0.9984,1.0,1.0,1.0,0.9952,1.0,1.0,1.0,0.9978,1.0,1.0,1.0,0.9987,1.0,0.9995,1.0,0.9967,1.0,0.9987,1.0,0.9995,1.0,0.9984,1.0,0.9959,1.0,0.9993,1.0,0.9997,0.0,0.0042,1.0,0.9961,1.0,0.6321,1.0,0.9998,0.0,0.0075,1.0,0.9966,0.0,0.0004,1.0,0.9999,0.0,0.0111,1.0,0.9976,0.0,0.0051,1.0,0.9999
NG_CF,LSTMFCN,4188,1,1,47.5397,0.0786,0.0,2.5261,37.5656,4.9531,0.4843,1.0,0.9847,0.0,0.0002,1.0,0.4843,0.0,0.0,1.0,0.9561,0.0,0.0002,1.0,0.5408,0.0,0.0001,1.0,0.9507,0.0,0.0001,1.0,0.7115,0.0,0.0003,1.0,0.9726,0.0,0.0,1.0,0.9602,0.0,0.0003,1.0,0.9584,0.0,0.0,1.0,0.989,0.0,0.0004,1.0,0.9457,0.0,0.0,1.0,0.9514,0.0,0.0005,1.0,0.9839,0.0,0.0001,1.0,0.995,0.0,0.0006,1.0,0.7695,0.0,0.0001,1.0,0.9827,0.0,0.0008,1.0,0.8548,0.0,0.0001,1.0,0.9677,0.0,0.0009,1.0,0.8107,0.0,0.0001,0.0,0.4852,0.0,0.0011,1.0,0.9748,0.0,0.0001,0.0,0.2848,0.0,0.0012
NG_CF,LSTMFCN,1522,0,3,43.1592,0.1429,0.0,2.926,49.1317,5.7583,0.5057,1.0,0.9999,1.0,0.9722,1.0,0.5057,0.0,0.0512,1.0,1.0,1.0,0.982,0.0,0.0244,0.0,0.0081,1.0,1.0,1.0,0.9957,0.0,0.0002,0.0,0.0021,1.0,1.0,1.0,0.9975,0.0,0.0,0.0,0.0008,1.0,1.0,1.0,0.9971,0.0,0.0,0.0,0.0007,1.0,1.0,1.0,0.9966,0.0,0.0,0.0,0.0008,1.0,0.9986,1.0,0.9969,0.0,0.0,0.0,0.0008,1.0,0.9927,1.0,0.9978,0.0,0.0008,0.0,0.0005,0.0,0.0574,1.0,0.9986,0.0,0.0001,0.0,0.0003,0.0,0.0245,1.0,0.9991,0.0,0.0001,0.0,0.0002,0.0,0.1545,1.0,0.9994,0.0,0.0,0.0,0.0002
