Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
NG_CF,LSTMFCN,374,1,0,8.8969,0.439,0.4,0.9544,16.302,3.2953,0.9668,1.0,0.9994,1.0,1.0,1.0,0.9668,0.0,0.0,1.0,0.9961,1.0,1.0,1.0,0.9948,0.0,0.0,0.0,0.3605,1.0,0.9999,1.0,0.9969,0.0,0.0,0.0,0.0922,1.0,0.9993,1.0,0.9998,0.0,0.0001,0.0,0.1719,1.0,0.9913,1.0,0.9999,0.0,0.0009,0.0,0.0004,1.0,0.8622,1.0,1.0,0.0,0.0075,0.0,0.0503,0.0,0.394,1.0,1.0,0.0,0.0378,0.0,0.0012,0.0,0.1198,1.0,1.0,0.0,0.1449,0.0,0.0,0.0,0.0373,1.0,0.9992,0.0,0.3825,0.0,0.067,0.0,0.014,1.0,0.9996,1.0,0.5904,0.0,0.0136,0.0,0.0074,1.0,0.9973,1.0,0.7291
NG_CF,LSTMFCN,823,0,1,4.6855,0.5488,0.5,0.7395,4.9548,1.0477,0.8184,1.0,0.998,0.0,0.0001,1.0,0.8184,1.0,1.0,1.0,0.9984,0.0,0.0,1.0,0.5995,1.0,0.9999,1.0,0.999,0.0,0.0,0.0,0.0378,1.0,0.9984,1.0,0.9999,0.0,0.0,0.0,0.0072,1.0,0.9784,1.0,1.0,0.0,0.0002,0.0,0.0006,1.0,0.8306,1.0,0.9999,0.0,0.0027,0.0,0.0001,0.0,0.4103,1.0,1.0,0.0,0.0226,0.0,0.0002,0.0,0.1362,1.0,0.9999,0.0,0.1365,0.0,0.0002,0.0,0.0482,1.0,0.9998,0.0,0.4841,0.0,0.0065,0.0,0.0222,1.0,0.9998,1.0,0.8115,0.0,0.0006,0.0,0.0119,1.0,0.9945,1.0,0.9308,0.0,0.0005,0.0,0.0072
NG_CF,LSTMFCN,215,0,1,4.0086,0.5488,0.5,1.0248,9.2009,1.8582,0.7286,1.0,0.9975,0.0,0.0,1.0,0.7286,1.0,1.0,1.0,0.9976,0.0,0.0,1.0,0.5523,1.0,0.9999,1.0,0.9999,0.0,0.0,0.0,0.0104,1.0,0.9984,1.0,0.9998,0.0,0.0,0.0,0.0011,1.0,0.9791,1.0,1.0,0.0,0.0,0.0,0.0003,1.0,0.8256,1.0,1.0,0.0,0.0004,0.0,0.0,0.0,0.3924,1.0,1.0,0.0,0.0033,0.0,0.0,0.0,0.1036,1.0,0.9994,0.0,0.0221,0.0,0.0032,0.0,0.0299,1.0,0.9998,0.0,0.1291,0.0,0.0012,0.0,0.0111,1.0,1.0,0.0,0.4524,0.0,0.0004,0.0,0.0048,1.0,0.9943,1.0,0.7391,0.0,0.0001,0.0,0.0024
NG_CF,LSTMFCN,350,0,1,0.5934,0.9268,0.9,0.3974,3.339,1.3841,0.6373,1.0,0.9967,0.0,0.0,1.0,0.6373,1.0,1.0,1.0,0.9977,0.0,0.0,0.0,0.114,1.0,1.0,1.0,0.9998,0.0,0.0,0.0,0.0617,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0008,1.0,0.9995,1.0,1.0,0.0,0.0,0.0,0.0001,1.0,0.9962,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.958,1.0,1.0,0.0,0.0002,0.0,0.0001,1.0,0.5951,1.0,1.0,0.0,0.0028,0.0,0.0001,0.0,0.1409,1.0,1.0,0.0,0.0318,0.0,0.0001,0.0,0.0286,1.0,1.0,0.0,0.1971,0.0,0.0,0.0,0.0071,1.0,0.9991,0.0,0.4808,0.0,0.0004,0.0,0.0023
NG_CF,LSTMFCN,554,1,0,4.1846,0.5488,0.5,0.5794,3.8999,0.7826,0.961,1.0,0.9896,1.0,1.0,1.0,0.961,0.0,0.0,1.0,0.8869,1.0,1.0,1.0,0.9849,0.0,0.0,0.0,0.0443,1.0,1.0,1.0,0.9974,0.0,0.0,0.0,0.0027,1.0,0.9997,1.0,0.9998,0.0,0.0,0.0,0.0001,1.0,0.9968,1.0,0.9992,0.0,0.0,0.0,0.0001,1.0,0.9339,1.0,1.0,0.0,0.0,0.0,0.0038,0.0,0.4371,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0949,1.0,1.0,0.0,0.0002,0.0,0.0002,0.0,0.0237,1.0,1.0,0.0,0.0012,0.0,0.0064,0.0,0.0074,1.0,0.9998,0.0,0.0068,0.0,0.0006,0.0,0.0029,1.0,0.9998,0.0,0.0292
NG_CF,LSTMFCN,354,1,0,5.8056,0.4268,0.4,0.7863,11.6601,2.1808,0.9423,1.0,0.9994,1.0,1.0,1.0,0.9423,0.0,0.0,1.0,0.9944,1.0,1.0,1.0,0.9644,0.0,0.0,1.0,0.7614,1.0,1.0,1.0,0.9958,0.0,0.0,0.0,0.41,1.0,0.9999,1.0,0.9789,0.0,0.0,0.0,0.0071,1.0,0.999,1.0,0.9996,0.0,0.0006,0.0,0.0025,1.0,0.9892,1.0,1.0,0.0,0.0054,0.0,0.0066,1.0,0.8615,1.0,0.9996,0.0,0.0233,0.0,0.0195,0.0,0.3735,1.0,0.9983,0.0,0.077,0.0,0.0008,0.0,0.102,1.0,0.9996,0.0,0.2073,0.0,0.0003,0.0,0.0303,1.0,0.9997,0.0,0.3597,0.0,0.0009,0.0,0.011,1.0,0.9338,1.0,0.5037
NG_CF,LSTMFCN,325,0,1,4.334,0.5244,0.5,1.5648,8.8657,1.7469,0.9849,1.0,0.9968,0.0,0.0,1.0,0.9849,1.0,1.0,1.0,0.9994,0.0,0.0,1.0,0.7713,1.0,1.0,1.0,0.9978,0.0,0.0,0.0,0.2576,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0014,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9992,1.0,1.0,0.0,0.0003,0.0,0.0,1.0,0.9725,1.0,1.0,0.0,0.0016,0.0,0.0,1.0,0.5264,1.0,1.0,0.0,0.012,0.0,0.0006,0.0,0.1152,1.0,0.9998,0.0,0.0644,0.0,0.0002,0.0,0.0311
NG_CF,LSTMFCN,312,1,0,4.7285,0.5,0.4,1.0277,6.2273,1.2053,0.9685,1.0,0.9955,1.0,1.0,1.0,0.9685,0.0,0.0,1.0,0.9509,1.0,1.0,1.0,0.9929,0.0,0.0,0.0,0.0399,1.0,0.9999,1.0,0.9994,0.0,0.0,0.0,0.0087,1.0,0.9992,1.0,1.0,0.0,0.0001,0.0,0.0002,1.0,0.9912,1.0,0.9995,0.0,0.0008,0.0,0.0,1.0,0.8688,1.0,0.9998,0.0,0.0052,0.0,0.0003,0.0,0.3264,1.0,0.9999,0.0,0.0253,0.0,0.0002,0.0,0.0684,1.0,0.9999,0.0,0.1053,0.0,0.0007,0.0,0.0189,1.0,0.9998,0.0,0.2723,0.0,0.0,0.0,0.0064,1.0,0.9999,0.0,0.4384,0.0,0.0003,0.0,0.0026,1.0,1.0,1.0,0.5839
NG_CF,LSTMFCN,817,0,1,0.9234,0.878,0.8,0.8548,2.7243,0.9648,0.5365,1.0,0.9909,0.0,0.0025,1.0,0.5365,1.0,0.9999,1.0,0.9909,0.0,0.0003,0.0,0.4409,1.0,0.9994,1.0,0.9994,0.0,0.0002,1.0,0.6326,1.0,0.9953,1.0,0.9999,0.0,0.0004,0.0,0.0065,1.0,0.9474,1.0,0.9999,0.0,0.0015,0.0,0.0007,1.0,0.5959,1.0,1.0,0.0,0.0062,0.0,0.01,0.0,0.189,1.0,1.0,0.0,0.0255,0.0,0.0001,0.0,0.0584,1.0,0.9935,0.0,0.1242,0.0,0.0004,0.0,0.021,1.0,1.0,0.0,0.2976,0.0,0.0008,0.0,0.0087,1.0,0.9998,0.0,0.4634,0.0,0.0011,0.0,0.0049,1.0,0.999,1.0,0.6032,0.0,0.0,0.0,0.0036
NG_CF,LSTMFCN,975,0,1,1.0179,0.8415,0.7,1.1635,5.5877,1.6123,0.5443,1.0,0.9529,0.0,0.0,1.0,0.5443,1.0,1.0,1.0,0.989,0.0,0.0,0.0,0.1064,1.0,1.0,1.0,0.9998,0.0,0.0,0.0,0.0001,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9968,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9371,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4866,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,0.0879,1.0,1.0,0.0,0.0033,0.0,0.0,0.0,0.0158,1.0,0.9986,0.0,0.0477,0.0,0.0,0.0,0.004
