Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
TSEVO,LSTMFCN,1145,0,1,265.7699,0.85,0.6,4.0762,33.1672,9.4534,0.2172,1.0,0.9941,1.0,0.8681,1.0,0.2172,0.0,0.0,1.0,0.9979,1.0,0.9205,0.0,0.0153,0.0,0.0,1.0,0.9999,1.0,0.9778,0.0,0.0096,0.0,0.0,1.0,1.0,1.0,0.9891,0.0,0.0041,0.0,0.0,1.0,1.0,1.0,0.9936,0.0,0.0025,0.0,0.0,1.0,0.9955,1.0,0.9957,0.0,0.0556,0.0,0.0,1.0,0.965,1.0,0.997,0.0,0.2858,0.0,0.0,1.0,0.5247,1.0,0.9983,0.0,0.0611,0.0,0.0,0.0,0.0156,1.0,0.9988,0.0,0.0046,0.0,0.0,0.0,0.0001,1.0,0.9991,0.0,0.0662,0.0,0.0001,0.0,0.0165,1.0,0.9993,0.0,0.0059,0.0,0.0001
TSEVO,LSTMFCN,815,0,4,261.8766,0.7857,0.3,6.7184,34.4796,9.6907,0.2417,1.0,0.9995,1.0,0.9909,1.0,0.2417,0.0,0.0007,1.0,0.9999,1.0,0.995,0.0,0.149,0.0,0.0008,1.0,1.0,1.0,0.9963,0.0,0.0055,0.0,0.0006,1.0,1.0,1.0,0.9939,0.0,0.047,0.0,0.0005,1.0,0.9999,1.0,0.9839,0.0,0.0011,0.0,0.0008,1.0,0.9998,1.0,0.9673,1.0,0.7565,0.0,0.0011,1.0,0.9796,1.0,0.9627,1.0,0.7755,0.0,0.0013,1.0,0.9728,1.0,0.9737,1.0,0.7215,0.0,0.0014,0.0,0.0241,1.0,0.9864,1.0,0.9769,0.0,0.0014,0.0,0.1494,1.0,0.9934,1.0,0.9992,0.0,0.0011,0.0,0.0,1.0,0.9963,1.0,0.9977,0.0,0.0008
TSEVO,LSTMFCN,2755,1,3,324.0366,0.7786,0.6,3.8717,30.6856,7.8888,0.2632,1.0,0.9053,0.0,0.0024,1.0,0.2632,0.0,0.019,1.0,0.9078,0.0,0.005,1.0,0.3321,0.0,0.0205,1.0,0.9508,0.0,0.0016,0.0,0.0021,0.0,0.0068,1.0,0.9688,0.0,0.0004,0.0,0.0012,0.0,0.0004,1.0,0.9567,0.0,0.0003,0.0,0.0081,0.0,0.0002,1.0,0.9835,0.0,0.0003,0.0,0.0083,0.0,0.0001,1.0,0.9939,0.0,0.0003,0.0,0.0006,0.0,0.0001,1.0,0.9534,0.0,0.0004,0.0,0.0002,0.0,0.0001,1.0,0.9735,0.0,0.0004,0.0,0.0,0.0,0.0001,1.0,0.5209,0.0,0.0004,0.0,0.0,0.0,0.0001,1.0,0.7259,0.0,0.0004,0.0,0.0,0.0,0.0001
TSEVO,LSTMFCN,1079,0,1,278.8183,0.6786,0.2,7.4232,37.3307,9.8606,0.2161,1.0,0.927,1.0,0.9972,1.0,0.2161,0.0,0.0,1.0,0.9804,1.0,0.9972,0.0,0.2137,0.0,0.0,1.0,0.9999,1.0,0.9989,0.0,0.3122,0.0,0.0,1.0,0.9999,1.0,0.9995,0.0,0.1982,0.0,0.0,1.0,0.9999,1.0,0.9997,1.0,0.9474,0.0,0.0,1.0,0.9994,1.0,0.9998,1.0,0.9164,0.0,0.0,1.0,0.9971,1.0,0.9999,0.0,0.3286,0.0,0.0,1.0,0.8401,1.0,0.9999,0.0,0.2335,0.0,0.0001,0.0,0.296,1.0,0.9999,0.0,0.453,0.0,0.0003,0.0,0.0082,1.0,0.9999,1.0,0.8083,0.0,0.0006,0.0,0.0007,1.0,0.9998,0.0,0.0291,0.0,0.0008
TSEVO,LSTMFCN,1546,0,3,276.572,0.8571,0.5,6.3163,25.6483,8.8641,0.2026,1.0,0.9998,1.0,0.954,1.0,0.2026,0.0,0.0006,1.0,1.0,1.0,0.9762,0.0,0.1419,0.0,0.0003,1.0,1.0,1.0,0.9952,0.0,0.0037,0.0,0.0003,1.0,1.0,1.0,0.9977,0.0,0.0017,0.0,0.0002,1.0,1.0,1.0,0.9975,0.0,0.0022,0.0,0.0002,1.0,0.9999,1.0,0.9974,0.0,0.0008,0.0,0.0003,1.0,0.9843,1.0,0.9976,0.0,0.0006,0.0,0.0003,1.0,0.9603,1.0,0.9981,0.0,0.0001,0.0,0.0002,0.0,0.1533,1.0,0.9986,0.0,0.0,0.0,0.0002,0.0,0.0806,1.0,0.9989,0.0,0.0,0.0,0.0002,0.0,0.0029,1.0,0.999,0.0,0.0,0.0,0.0001
TSEVO,LSTMFCN,3433,1,3,397.2322,0.6,0.4,7.839,49.0677,10.7479,0.3278,1.0,0.9459,0.0,0.0059,1.0,0.3278,0.0,0.0251,1.0,0.8925,0.0,0.0005,0.0,0.1476,0.0,0.0013,1.0,0.9523,0.0,0.0,0.0,0.007,0.0,0.0001,1.0,0.9831,0.0,0.0,0.0,0.0034,0.0,0.0,1.0,0.8821,0.0,0.0,0.0,0.0007,0.0,0.0,1.0,0.959,0.0,0.0,0.0,0.0001,0.0,0.0,1.0,0.9815,0.0,0.0,0.0,0.0008,0.0,0.0,1.0,0.9408,0.0,0.0,0.0,0.0023,0.0,0.0,1.0,0.8975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0
TSEVO,LSTMFCN,4250,1,3,384.7932,0.7,0.4,8.2187,66.5075,14.5335,0.2428,1.0,0.9491,0.0,0.0008,1.0,0.2428,0.0,0.0137,1.0,0.9177,0.0,0.0009,0.0,0.2108,0.0,0.0129,1.0,0.9838,0.0,0.0001,0.0,0.0352,0.0,0.0034,1.0,0.9691,0.0,0.0,0.0,0.0098,0.0,0.0007,1.0,0.905,0.0,0.0,0.0,0.0004,0.0,0.0002,1.0,0.9601,0.0,0.0,0.0,0.0027,0.0,0.0001,1.0,0.9841,0.0,0.0,0.0,0.0008,0.0,0.0,1.0,0.9004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.1453,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.3693,0.0,0.0001,0.0,0.0,0.0,0.0
TSEVO,LSTMFCN,1811,0,2,298.0732,0.7857,0.3,4.2601,32.5799,9.1307,0.2378,1.0,0.9921,1.0,0.7474,1.0,0.2378,0.0,0.0532,1.0,0.9986,1.0,0.8912,0.0,0.1777,0.0,0.0044,1.0,1.0,1.0,0.9373,0.0,0.008,0.0,0.0008,1.0,1.0,1.0,0.9575,0.0,0.0008,0.0,0.0002,1.0,0.9998,1.0,0.9752,0.0,0.0017,0.0,0.0001,1.0,0.9994,1.0,0.9836,0.0,0.0053,0.0,0.0001,1.0,0.999,1.0,0.991,0.0,0.0006,0.0,0.0001,1.0,0.8253,1.0,0.9957,0.0,0.0004,0.0,0.0,1.0,0.662,1.0,0.9981,0.0,0.0043,0.0,0.0,0.0,0.0632,1.0,0.9989,0.0,0.0013,0.0,0.0,0.0,0.0,1.0,0.9992,0.0,0.0001,0.0,0.0
TSEVO,LSTMFCN,2390,0,1,258.6194,0.7929,0.6,6.5358,37.5889,10.14,0.2273,1.0,0.9999,1.0,0.9702,1.0,0.2273,0.0,0.0004,1.0,1.0,1.0,0.9725,0.0,0.034,0.0,0.0,1.0,1.0,1.0,0.9781,0.0,0.0011,0.0,0.0,1.0,1.0,1.0,0.986,0.0,0.0032,0.0,0.0,1.0,1.0,1.0,0.9893,0.0,0.0002,0.0,0.0,1.0,1.0,1.0,0.992,0.0,0.205,0.0,0.0,1.0,0.9955,1.0,0.9937,0.0,0.037,0.0,0.0,1.0,0.973,1.0,0.9944,0.0,0.1505,0.0,0.0,1.0,0.8181,1.0,0.9959,0.0,0.0084,0.0,0.0,0.0,0.3595,1.0,0.9972,0.0,0.0523,0.0,0.0001,0.0,0.003,1.0,0.9981,0.0,0.0112,0.0,0.0002
TSEVO,LSTMFCN,2466,0,3,456.3776,0.8143,0.5,7.3236,25.4309,8.8013,0.217,1.0,0.9998,1.0,0.955,1.0,0.217,0.0,0.0002,1.0,0.9999,1.0,0.9704,0.0,0.0389,0.0,0.0001,1.0,1.0,1.0,0.993,0.0,0.0001,0.0,0.0001,1.0,1.0,1.0,0.998,0.0,0.0,0.0,0.0002,1.0,1.0,1.0,0.9984,0.0,0.0002,0.0,0.0003,1.0,0.9999,1.0,0.9978,0.0,0.0001,0.0,0.0003,1.0,0.9991,1.0,0.9967,0.0,0.0,0.0,0.0003,1.0,0.9902,1.0,0.9959,0.0,0.0,0.0,0.0004,0.0,0.3542,1.0,0.9961,0.0,0.0,0.0,0.0004,0.0,0.0629,1.0,0.9966,0.0,0.0,0.0,0.0003,0.0,0.0003,1.0,0.9976,0.0,0.0,0.0,0.0002
