Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
TSEVO,LSTMFCN,137,2,1,332.5551,0.5372,0.3333,10.3122,254.15,17.9755,0.2548,1.0,0.9987,0.0,0.0013,1.0,0.2548,0.0,0.0007,1.0,0.9987,0.0,0.0002,1.0,0.2937,0.0,0.0006,1.0,0.9979,0.0,0.0001,0.0,0.3131,0.0,0.0005,1.0,0.998,0.0,0.0001,1.0,0.55,0.0,0.0005,1.0,0.9958,0.0,0.0001,1.0,0.804,0.0,0.0006,1.0,0.9473,0.0,0.0,1.0,0.8836,0.0,0.0009,1.0,0.809,0.0,0.0,1.0,0.9749,0.0,0.0013,1.0,0.5549,0.0,0.0,1.0,0.9893,0.0,0.0024,0.0,0.2186,0.0,0.0,1.0,0.9962,0.0,0.0153,0.0,0.0143,0.0,0.0,1.0,0.9995,0.0,0.0312,0.0,0.0079,0.0,0.0,1.0,1.0,0.0,0.0523
TSEVO,LSTMFCN,131,2,0,365.5714,0.6877,0.5,10.5607,210.3,18.3074,0.2525,1.0,0.9846,0.0,0.0001,1.0,0.2525,1.0,0.6073,1.0,0.9852,0.0,0.0001,0.0,0.2264,0.0,0.4923,1.0,0.9744,0.0,0.0001,0.0,0.1803,0.0,0.4759,1.0,0.9844,0.0,0.0001,0.0,0.1478,1.0,0.5042,1.0,0.9637,0.0,0.0002,0.0,0.1895,1.0,0.5732,1.0,0.9648,0.0,0.0002,0.0,0.0442,1.0,0.7121,1.0,0.6991,0.0,0.0002,0.0,0.0441,1.0,0.8509,0.0,0.4358,0.0,0.0002,0.0,0.0034,1.0,0.9304,0.0,0.124,0.0,0.0001,0.0,0.021,1.0,0.9675,0.0,0.0168,0.0,0.0,0.0,0.0028,1.0,0.9834,0.0,0.0052,0.0,0.0,0.0,0.0001,1.0,0.9904
TSEVO,LSTMFCN,114,2,1,363.9327,0.5825,0.3333,10.7471,249.35,18.4252,0.2531,1.0,0.9984,0.0,0.0003,1.0,0.2531,0.0,0.0004,1.0,0.9983,0.0,0.0002,1.0,0.325,0.0,0.0003,1.0,0.9973,0.0,0.0001,1.0,0.468,0.0,0.0003,1.0,0.9927,0.0,0.0001,1.0,0.6082,0.0,0.0003,1.0,0.9783,0.0,0.0,1.0,0.8165,0.0,0.0003,1.0,0.9563,0.0,0.0,1.0,0.9764,0.0,0.0004,1.0,0.8986,0.0,0.0,1.0,0.9874,0.0,0.0005,0.0,0.4447,0.0,0.0,1.0,0.9908,0.0,0.0007,0.0,0.0427,0.0,0.0,1.0,0.9959,0.0,0.0013,0.0,0.0399,0.0,0.0,1.0,0.9996,0.0,0.0023,0.0,0.0064,0.0,0.0,1.0,1.0,0.0,0.0043
TSEVO,LSTMFCN,119,2,0,335.8209,0.6165,0.5333,10.2232,194.67,16.306,0.2672,1.0,0.9773,0.0,0.0001,1.0,0.2672,1.0,0.9523,1.0,0.9724,0.0,0.0001,0.0,0.2291,1.0,0.9348,1.0,0.9585,0.0,0.0001,0.0,0.2357,1.0,0.9232,1.0,0.9709,0.0,0.0001,0.0,0.1158,1.0,0.9128,1.0,0.9756,0.0,0.0002,0.0,0.0912,1.0,0.904,1.0,0.943,0.0,0.0002,0.0,0.0274,1.0,0.9099,1.0,0.7404,0.0,0.0003,0.0,0.04,1.0,0.9316,0.0,0.3299,0.0,0.0004,0.0,0.004,1.0,0.9514,1.0,0.5883,0.0,0.0003,0.0,0.003,1.0,0.9682,0.0,0.0228,0.0,0.0002,0.0,0.0005,1.0,0.9802,0.0,0.0115,0.0,0.0001,0.0,0.0001,1.0,0.9867
TSEVO,LSTMFCN,78,1,2,514.6695,0.6343,0.5,14.9892,233.91,20.6241,0.2518,1.0,0.9948,0.0,0.1122,1.0,0.2518,0.0,0.0186,1.0,0.9951,0.0,0.0732,0.0,0.2496,0.0,0.0005,1.0,0.9949,0.0,0.0458,0.0,0.3986,0.0,0.0001,1.0,0.997,0.0,0.029,0.0,0.1861,0.0,0.0,1.0,0.9989,0.0,0.0178,0.0,0.2424,0.0,0.0,1.0,0.9987,0.0,0.0113,0.0,0.0613,0.0,0.0,1.0,0.9995,0.0,0.0085,0.0,0.0036,0.0,0.0,1.0,0.9997,0.0,0.0085,0.0,0.003,0.0,0.0,1.0,0.9999,0.0,0.0103,0.0,0.0006,0.0,0.0,1.0,0.9999,0.0,0.0137,0.0,0.0001,0.0,0.0,1.0,1.0,0.0,0.0186,0.0,0.0,0.0,0.0
TSEVO,LSTMFCN,26,0,3,418.6226,0.7055,0.6333,12.0681,220.2,20.3976,0.2529,1.0,0.9872,0.0,0.3514,1.0,0.2529,1.0,0.8408,1.0,0.9853,0.0,0.3073,0.0,0.2039,1.0,0.7728,1.0,0.9651,0.0,0.3271,0.0,0.1141,1.0,0.6273,1.0,0.9751,0.0,0.3988,0.0,0.0578,0.0,0.3944,1.0,0.8323,1.0,0.586,0.0,0.0264,0.0,0.2405,1.0,0.7038,1.0,0.8244,0.0,0.0117,0.0,0.1709,1.0,0.5137,1.0,0.9329,0.0,0.007,0.0,0.0887,0.0,0.3421,1.0,0.9686,0.0,0.0013,0.0,0.1024,0.0,0.0656,1.0,0.9831,0.0,0.0003,0.0,0.1194,0.0,0.0183,1.0,0.9901,0.0,0.0,0.0,0.1357,0.0,0.0009,1.0,0.9933,0.0,0.0,0.0,0.1423
TSEVO,LSTMFCN,35,3,0,337.0219,0.589,0.3667,14.4783,275.56,20.8174,0.2507,1.0,0.9958,0.0,0.0452,1.0,0.2507,1.0,0.9585,1.0,0.9939,0.0,0.0111,1.0,0.2881,1.0,0.7492,1.0,0.9798,0.0,0.0022,0.0,0.2168,1.0,0.5115,1.0,0.8462,0.0,0.0006,0.0,0.1559,0.0,0.4317,1.0,0.5581,0.0,0.0002,0.0,0.0643,0.0,0.4343,0.0,0.1413,0.0,0.0001,0.0,0.0221,0.0,0.4789,0.0,0.0133,0.0,0.0001,0.0,0.0083,1.0,0.5272,0.0,0.0019,0.0,0.0001,0.0,0.0056,1.0,0.6002,0.0,0.0003,0.0,0.0001,0.0,0.0007,1.0,0.6687,0.0,0.0,0.0,0.0001,0.0,0.0002,1.0,0.7372,0.0,0.0,0.0,0.0002,0.0,0.0004,1.0,0.7905
TSEVO,LSTMFCN,32,0,2,559.0022,0.712,0.6,9.5694,195.14,18.4679,0.2514,1.0,0.9817,1.0,0.7443,1.0,0.2514,0.0,0.002,1.0,0.972,1.0,0.685,1.0,0.2927,0.0,0.0088,1.0,0.9255,1.0,0.6119,0.0,0.3092,0.0,0.0095,1.0,0.7168,1.0,0.5894,1.0,0.4635,0.0,0.0117,1.0,0.4995,1.0,0.7067,1.0,0.5833,0.0,0.0089,1.0,0.7542,1.0,0.8883,0.0,0.2756,0.0,0.0006,0.0,0.3747,1.0,0.9719,0.0,0.0804,0.0,0.0002,0.0,0.0913,1.0,0.9922,0.0,0.0551,0.0,0.0,0.0,0.0468,1.0,0.9967,0.0,0.0054,0.0,0.0,0.0,0.0049,1.0,0.9981,0.0,0.0022,0.0,0.0,0.0,0.0022,1.0,0.9985,0.0,0.0002,0.0,0.0
TSEVO,LSTMFCN,81,1,3,439.5943,0.3091,0.1333,19.0626,533.99,31.8072,0.2506,1.0,0.9999,0.0,0.0017,1.0,0.2506,0.0,0.3637,1.0,0.9999,0.0,0.0012,0.0,0.2178,0.0,0.359,1.0,0.9999,0.0,0.0009,0.0,0.1287,0.0,0.3093,1.0,1.0,0.0,0.0006,0.0,0.0603,0.0,0.2562,1.0,1.0,0.0,0.0005,0.0,0.0401,0.0,0.3434,1.0,1.0,0.0,0.0003,0.0,0.0121,0.0,0.4027,1.0,1.0,0.0,0.0003,0.0,0.0055,1.0,0.5158,1.0,1.0,0.0,0.0002,0.0,0.0009,1.0,0.6354,1.0,1.0,0.0,0.0002,0.0,0.0001,1.0,0.7247,1.0,1.0,0.0,0.0003,0.0,0.0,1.0,0.7753,1.0,1.0,0.0,0.0003,0.0,0.0,1.0,0.7894
TSEVO,LSTMFCN,69,3,0,411.1414,0.7023,0.5333,8.3956,127.52,12.673,0.2517,1.0,0.9867,0.0,0.4739,1.0,0.2517,1.0,0.5196,1.0,0.9628,0.0,0.4619,0.0,0.2596,1.0,0.5566,1.0,0.8834,0.0,0.4245,0.0,0.201,1.0,0.6633,1.0,0.575,0.0,0.3652,0.0,0.1092,1.0,0.8327,0.0,0.1779,0.0,0.295,0.0,0.0603,1.0,0.9553,0.0,0.0558,0.0,0.2321,0.0,0.0444,1.0,0.9921,0.0,0.0137,0.0,0.2086,0.0,0.0045,1.0,0.9985,0.0,0.0044,0.0,0.2368,0.0,0.0302,1.0,0.9996,0.0,0.0008,1.0,0.4923,0.0,0.0015,1.0,0.9998,0.0,0.0005,1.0,0.7037,0.0,0.0002,1.0,0.9999,0.0,0.0,1.0,0.8386,0.0,0.0001,1.0,0.9999
