Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
TSEVO,LSTMFCN,1129,0,1,146.8663,0.6098,0.5,1.0281,6.6745,1.4871,0.5001,1.0,0.989,0.0,0.0,1.0,0.5001,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.1706,1.0,1.0,1.0,0.9976,0.0,0.0,0.0,0.025,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,1.0,0.9999,1.0,0.9999,0.0,0.0,0.0,0.0,1.0,0.9986,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9785,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7618,1.0,1.0,0.0,0.0003,0.0,0.0,0.0,0.2295,1.0,1.0,0.0,0.0041,0.0,0.0,0.0,0.0549,1.0,1.0,0.0,0.0639,0.0,0.0001,0.0,0.0178
TSEVO,LSTMFCN,84,0,1,147.3265,0.8049,0.5,0.5501,4.3698,1.4231,0.5,1.0,0.9968,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.9986,0.0,0.0,0.0,0.206,1.0,0.9997,1.0,1.0,0.0,0.0,0.0,0.0384,1.0,0.9986,1.0,0.9998,0.0,0.0,0.0,0.0027,1.0,0.9927,1.0,1.0,0.0,0.0,0.0,0.0016,1.0,0.9606,1.0,1.0,0.0,0.0,0.0,0.0001,1.0,0.8319,1.0,0.9999,0.0,0.0001,0.0,0.0002,1.0,0.539,1.0,1.0,0.0,0.0004,0.0,0.0006,0.0,0.2227,1.0,0.9993,0.0,0.0028,0.0,0.0012,0.0,0.0857,1.0,0.9997,0.0,0.0254,0.0,0.0007,0.0,0.0361,1.0,1.0,0.0,0.1414,0.0,0.0001,0.0,0.0175
TSEVO,LSTMFCN,458,0,1,140.4476,0.8293,0.8,1.3588,6.2491,2.1041,0.5,1.0,0.9984,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.9996,0.0,0.0,0.0,0.3415,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0008,1.0,0.9999,1.0,0.9999,0.0,0.0,0.0,0.0005,1.0,0.9993,1.0,0.9994,0.0,0.0,0.0,0.0001,1.0,0.9936,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9281,1.0,1.0,0.0,0.0,0.0,0.0003,1.0,0.5691,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,0.1634,1.0,1.0,0.0,0.0013,0.0,0.0003,0.0,0.048,1.0,0.9996,0.0,0.0115,0.0,0.0,0.0,0.0217,1.0,1.0,0.0,0.0728,0.0,0.004,0.0,0.0113
TSEVO,LSTMFCN,648,1,0,145.9314,0.6098,0.4,1.2515,10.9174,3.4368,0.5,1.0,0.9999,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.9981,1.0,1.0,1.0,0.9273,0.0,0.0,1.0,0.9935,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.0826,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0171,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0078,1.0,0.9998,1.0,0.9999,0.0,0.0,0.0,0.0019,1.0,0.9973,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9455,1.0,0.9999,0.0,0.0001,0.0,0.0001,0.0,0.4816,1.0,1.0,0.0,0.0007,0.0,0.0049,0.0,0.1061,1.0,1.0,0.0,0.0109,0.0,0.0002,0.0,0.0355,1.0,0.9999,0.0,0.0782
TSEVO,LSTMFCN,1072,1,0,146.7985,0.7439,0.6,0.5298,2.5424,0.7421,0.5001,1.0,0.9982,1.0,1.0,1.0,0.5001,0.0,0.0001,1.0,0.9916,1.0,0.9999,1.0,0.719,0.0,0.0,0.0,0.0198,1.0,0.9988,1.0,0.9071,0.0,0.0,0.0,0.0189,1.0,0.9791,1.0,0.9997,0.0,0.0001,0.0,0.0075,1.0,0.7118,1.0,1.0,0.0,0.0001,0.0,0.0048,0.0,0.1623,1.0,1.0,0.0,0.0005,0.0,0.0,0.0,0.0324,1.0,1.0,0.0,0.0017,0.0,0.0,0.0,0.0083,1.0,0.9993,0.0,0.0046,0.0,0.0003,0.0,0.0028,1.0,0.9996,0.0,0.0132,0.0,0.0002,0.0,0.001,1.0,0.9992,0.0,0.038,0.0,0.0001,0.0,0.0005,1.0,0.9992,0.0,0.0933
TSEVO,LSTMFCN,453,0,1,149.1327,0.6951,0.5,1.8666,16.6498,3.8898,0.5,1.0,0.9989,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.3503,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0038,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0138,1.0,0.9996,1.0,1.0,0.0,0.0,0.0,0.0241,1.0,0.998,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9879,1.0,1.0,0.0,0.0,0.0,0.0001,1.0,0.9346,1.0,1.0,0.0,0.0001,0.0,0.0005,1.0,0.7453,1.0,1.0,0.0,0.0003,0.0,0.0,0.0,0.3393,1.0,1.0,0.0,0.0021,0.0,0.0,0.0,0.0933,1.0,1.0,0.0,0.0153,0.0,0.0022,0.0,0.0263
TSEVO,LSTMFCN,286,0,1,136.2555,0.9268,0.6,0.3432,1.5742,0.8923,0.5,1.0,0.9116,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.88,0.0,0.0,0.0,0.0601,1.0,1.0,1.0,0.9954,0.0,0.0,0.0,0.0009,1.0,1.0,1.0,0.9999,0.0,0.0,0.0,0.0006,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,0.9996,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9963,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9492,1.0,0.9999,0.0,0.0002,0.0,0.0001,1.0,0.6148,1.0,1.0,0.0,0.0016,0.0,0.0023,0.0,0.1427,1.0,1.0,0.0,0.0246,0.0,0.0004,0.0,0.031
TSEVO,LSTMFCN,594,1,0,145.1646,0.6707,0.6,0.5379,6.8832,1.7785,0.5001,1.0,0.9981,1.0,1.0,1.0,0.5001,0.0,0.0,1.0,0.9885,1.0,1.0,1.0,0.8875,0.0,0.0,0.0,0.0598,1.0,0.9999,1.0,0.9998,0.0,0.0,0.0,0.0037,1.0,0.9992,1.0,0.9979,0.0,0.0,0.0,0.0041,1.0,0.9902,1.0,1.0,0.0,0.0,0.0,0.0039,1.0,0.8344,1.0,0.9999,0.0,0.0005,0.0,0.0001,0.0,0.2762,1.0,1.0,0.0,0.0054,0.0,0.0006,0.0,0.0632,1.0,0.9999,0.0,0.0461,0.0,0.0001,0.0,0.0173,1.0,0.9999,0.0,0.2524,0.0,0.0008,0.0,0.0055,1.0,1.0,1.0,0.5731,0.0,0.0092,0.0,0.0023,1.0,1.0,1.0,0.7853
TSEVO,LSTMFCN,438,0,1,154.1411,0.8537,0.7,0.8178,4.1619,2.0038,0.5001,1.0,0.9944,0.0,0.0,1.0,0.5001,1.0,1.0,1.0,0.993,0.0,0.0,0.0,0.1151,1.0,1.0,1.0,0.9926,0.0,0.0,0.0,0.047,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0248,1.0,0.9997,1.0,0.9993,0.0,0.0,0.0,0.0007,1.0,0.9991,1.0,1.0,0.0,0.0,0.0,0.0012,1.0,0.995,1.0,1.0,0.0,0.0,0.0,0.0002,1.0,0.9643,1.0,1.0,0.0,0.0002,0.0,0.0001,1.0,0.749,1.0,1.0,0.0,0.0012,0.0,0.0001,0.0,0.3767,1.0,1.0,0.0,0.0067,0.0,0.0004,0.0,0.169,1.0,0.9995,0.0,0.0495,0.0,0.0008,0.0,0.0774
TSEVO,LSTMFCN,570,0,1,143.8219,0.9512,0.8,0.3103,0.6617,0.3992,0.5,1.0,0.9604,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.9893,0.0,0.0,0.0,0.2071,1.0,1.0,1.0,0.998,0.0,0.0,0.0,0.0017,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.0001,1.0,0.9999,1.0,1.0,0.0,0.0,0.0,0.0001,1.0,0.9991,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9919,1.0,1.0,0.0,0.0004,0.0,0.0001,1.0,0.8911,1.0,1.0,0.0,0.0051,0.0,0.0025,0.0,0.4091,1.0,0.9895,0.0,0.0468,0.0,0.0,0.0,0.1124,1.0,1.0,0.0,0.2215,0.0,0.001,0.0,0.0362,1.0,0.9991,1.0,0.5369,0.0,0.0014,0.0,0.0142
